fecha,viajeros_real,yhat,yhat_lower,yhat_upper,viajeros_sin_subsidio,efecto_subsidio,efecto_pct
2022-09-01,2215564.0,2848229.4310172265,2475991.381048199,3209012.0919972113,2848229.4310172265,-632665.4310172265,-22.21258667323279
2022-10-01,2329082.0,2761234.967458484,2431520.5399920563,3118025.62959883,2761234.967458484,-432152.9674584842,-15.650713269658814
2022-11-01,2215477.0,2431108.2418055204,2079875.0523519176,2790257.6647287696,2431108.2418055204,-215631.24180552037,-8.869668495113023
2022-12-01,1989028.0,1053194.4771195413,693012.2985367697,1402135.2815765184,1053194.4771195413,935833.5228804587,88.85666828029125
2023-01-01,1229699.5590000001,2933200.938881706,2566142.7996528177,3305227.4272041963,2933200.938881706,-1703501.3798817059,-58.0765319313982
2023-02-01,1977865.0,3057352.3737607636,2716003.7780681127,3419710.11883512,3057352.3737607636,-1079487.3737607636,-35.30791488168949
2023-03-01,2263552.0,1625385.5976850202,1285888.9165870536,1959043.678919681,1625385.5976850202,638166.4023149798,39.26246197972333
2023-04-01,1939015.0,2081857.8524818274,1748762.7366755193,2440171.491996244,2081857.8524818274,-142842.85248182737,-6.861316314730198
2023-05-01,2375483.0,2657891.7338795844,2286347.875238794,3011638.747551505,2657891.7338795844,-282408.73387958435,-10.62529110120551
2023-06-01,2313986.0,2210735.2548270496,1858470.9508983982,2554693.1025902824,2210735.2548270496,103250.74517295044,4.67042559472043
2023-07-01,2119055.0,1977535.7079288492,1646005.1895868653,2334719.132369349,1977535.7079288492,141519.29207115085,7.156345723808425
2023-08-01,1931618.0,2091413.9736589259,1748163.320675445,2426134.9779263306,2091413.9736589259,-159795.97365892585,-7.640571195924593
2023-09-01,2517513.0,3703212.6788387108,3369321.295824501,4055827.9955075365,3703212.6788387108,-1185699.6788387108,-32.01813618791492
2023-10-01,2668495.0,3381548.7604422127,3028300.3900229023,3739610.068694111,3381548.7604422127,-713053.7604422127,-21.086602943113114
2023-11-01,2608638.0,2845802.2540472024,2493821.693059703,3222774.815852579,2845802.2540472024,-237164.2540472024,-8.333827612579741
2023-12-01,2358180.0,253861.32315208807,-86872.60565769576,662994.8582776503,253861.32315208807,2104318.676847912,828.92448944939
2024-01-01,1537745.374,4025470.3317171205,3657472.0271904557,4352842.924919637,4025470.3317171205,-2487724.9577171206,-61.79960980251336
2024-02-01,2547481.0,4057881.4641021634,3713594.1465959153,4414151.287229213,4057881.4641021634,-1510400.4641021634,-37.22140425894256
2024-03-01,2468973.0,3698196.07441716,3351707.707004279,4054903.100819189,3698196.07441716,-1229223.07441716,-33.23845057649862
2024-04-01,2639553.0,1977488.801771691,1598581.8442139018,2335809.012556892,1977488.801771691,662064.1982283089,33.48004790900186
2024-05-01,2754608.0,2277586.082834713,1943635.1348286371,2604617.4591063103,2277586.082834713,477021.91716528684,20.9441882684662
2024-06-01,2562322.0,3104067.030918329,2753812.3037070977,3448794.0788919874,3104067.030918329,-541745.030918329,-17.45274910374778
2024-07-01,2495544.0,3207689.49650128,2829432.737957265,3559167.8783636726,3207689.49650128,-712145.49650128,-22.201198004920293
2024-08-01,2146726.0,2347513.4475690853,1999686.7877246118,2702541.8382613016,2347513.4475690853,-200787.44756908529,-8.553196906156437
2024-09-01,2767590.0,3020078.9426109036,2662211.338910873,3348373.4706364307,3020078.9426109036,-252488.94261090364,-8.36034247477727
2024-10-01,2918695.0,3339319.3285061424,2989081.311264567,3712064.2355982177,3339319.3285061424,-420624.32850614237,-12.596109779483422
2024-11-01,2795325.0,3190912.0598013806,2881070.425733828,3554032.368324067,3190912.0598013806,-395587.0598013806,-12.397303729705547
2024-12-01,2600093.0,3667796.367011731,3333985.1718376814,3999949.195336826,3667796.367011731,-1067703.367011731,-29.110213877048537
2025-01-01,2619740.0,2569418.567926431,2205361.0851903665,2945841.775144795,2569418.567926431,50321.432073568925,1.9584754582893538
2025-02-01,2786075.0,2863633.377648034,2534297.975512229,3237069.447517126,2863633.377648034,-77558.37764803413,-2.7083906149932697
2025-03-01,2923775.0,3525359.016045392,3178402.059053,3904802.844029305,3525359.016045392,-601584.016045392,-17.064475229539177
2025-04-01,2638452.0,2401356.0927179395,2020667.2810737095,2735930.270467831,2401356.0927179395,237095.90728206048,9.873417274557852
2025-05-01,2958770.0,2890286.030457843,2556182.886866704,3241657.7079090993,2890286.030457843,68483.9695421569,2.3694530167766312
2025-06-01,2804630.0,3317389.8011168493,2991283.6622422305,3667787.290649604,3317389.8011168493,-512759.8011168493,-15.456724468864676
2025-07-01,2681783.0,3274526.361659468,2935596.6376574906,3641463.9518114016,3274526.361659468,-592743.3616594682,-18.101651848027174
2025-08-01,2295806.0,2661449.0017709173,2304405.667605118,3015693.4665372116,2661449.0017709173,-365643.0017709173,-13.738493637399024
2025-09-01,3044128.0,3869611.158520672,3510123.9387140563,4213374.56667176,3869611.158520672,-825483.158520672,-21.33245757013604
2025-10-01,3309908.0,3978711.9117579064,3647731.6532822438,4336098.176300275,3978711.9117579064,-668803.9117579064,-16.809558635835238
2025-11-01,2998173.0,3638169.5033452376,3297118.794400101,4017966.638005313,3638169.5033452376,-639996.5033452376,-17.59116783197625
2025-12-01,3031059.0,2846522.1207302073,2475024.7886877353,3192028.138287049,2846522.1207302073,184536.8792697927,6.482889345066961
