linea,mae,rmse,mape
ARTEA - ZEBERIO - UGAO MIRABALLES,477.2870344930786,527.3728418735916,21.91149972146107
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),876.1465447480947,1046.8950783603684,1377812625092.2524
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),240.89124215150983,279.8003850566477,1313087643887.6418
Areeta/Las Arenas-LARRABETZU,1817.1880364250876,2112.1536368494026,9.659904241210528
Arrazola - DURANGO,1713.9808616956373,2148.936544604192,11.723094769470952
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,411.74105865024643,548.9248634715141,5.01472656228012
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),1960.9312694712264,2758.880766539117,7.8318944221512625
BERMEO - BAKIO,1015.1412229047028,1333.3738518296743,1674289690284.8
BERMEO - MUNGIA - DERIO - UPV/EHU,975.6766633793404,1199.3688306637007,24799605177713.72
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2278.4866520871487,2831.582335570706,9.417600134490252
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,3759.989230713751,6766.5348306137685,6.521606037298112
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,9298.743910379011,12664.459752243427,9.653659500615515
BILBAO - BALMASEDA,6150.501879617123,7456.89864719187,6.886495481526135
BILBAO - BARAKALDO,3491.17873177945,4606.858718890537,7.810686996651041
BILBAO - BARAKALDO - SANTURTZI,9430.217357879434,11743.818146418802,6.558956125293871
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,1141.4279533389147,1310.7642022130206,8.319085867556431
BILBAO - DERIO - MUNGIA,4423.41319755313,5184.211667067823,7.353445201628441
BILBAO - DURANGO (Autopista),4514.849045208694,5155.631436497593,11.831155844255106
BILBAO - DURANGO - ELORRIO (Autopista),5984.0462112557625,6793.910046499596,9.901259926452848
BILBAO - DURANGO - ONDARROA (Autopista),5762.650054538605,7787.961370534287,9.516900579967299
BILBAO - ERMUA - EIBAR (Autopista),3174.5013988829055,3723.4957342398598,8.685537228410418
BILBAO - ERMUA - ONDARROA (Autopista),2941.751656347675,4809.262616407436,7.082610212033077
BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),880.9451840288499,970.7784762006725,11.24304470992663
BILBAO - Erandiogoikoa - UPV/EHU,3339.464031940624,4392.932588305192,12.499207195262441
BILBAO - GALDAKAO (Autopista),1887.8205344054816,2401.4482572301386,1276489843845.5022
BILBAO - GALDAKAO - LARRABETZU,2767.7833711448743,3222.667309792096,7.316130711021381
BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),4560.184034832081,6218.798909309022,6.421839084786905
BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,1123.6084075737738,1977.1844123816143,6.986746674561588
BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,1946.5211105873302,2370.025347474684,9.919459751132926
BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,6466.539174197402,8470.774621940815,9.985560009391452
BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,5281.735542917893,7187.727353753987,8.315687989058905
