linea,mae,rmse,mape
ARTEA - ZEBERIO - UGAO MIRABALLES,500.0294901529948,589.3129556413969,22.717691007100385
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),1548.3841145833333,1970.3420260354922,8584654744483.882
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),739.3699417114258,959.926436983174,24921900939998.57
Areeta/Las Arenas-LARRABETZU,2667.8644205729165,4000.2452502719048,14.90062092734837
Arrazola - DURANGO,1485.091796875,2028.503550131536,9.997277240007902
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,1022.0399983723959,1441.3541866539465,12.06495314271286
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),3194.7285970052085,3733.5658017880774,14.942788233368386
BERMEO - BAKIO,1449.7108370463054,2357.2008730012244,28483494567991.4
BERMEO - MUNGIA - DERIO - UPV/EHU,1541.2637278238933,2454.965745585024,65843015035006.19
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2513.485595703125,3697.919211850199,10.242910920752008
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,3962.423828125,4789.216509335056,7.355058657045141
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,11647.985677083334,12994.055231266737,12.543500513029821
BILBAO - BALMASEDA,7751.549153645833,9478.2161300369,9.026914109897906
BILBAO - BARAKALDO,5149.974609375,7875.063095372372,11.644441517714549
BILBAO - BARAKALDO - SANTURTZI,10393.682291666666,12780.278457428938,6.9754042524792474
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,1319.4773763020833,1589.716842821395,9.789197467454217
BILBAO - DERIO - MUNGIA,7755.589029947917,11033.032002083075,13.090788500390296
BILBAO - DURANGO (Autopista),4766.49072265625,6051.818865808811,13.547216106963777
BILBAO - DURANGO - ELORRIO (Autopista),5509.074869791667,7578.526813853858,8.907018576719796
BILBAO - DURANGO - ONDARROA (Autopista),3833.9417317708335,5105.741416188504,6.428757695835094
BILBAO - ERMUA - EIBAR (Autopista),3510.2198893229165,4642.193567531699,9.620124039037533
BILBAO - ERMUA - ONDARROA (Autopista),2333.2679036458335,3346.447345737754,5.655401807221797
BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),1004.0966796875,1190.6162215469756,12.608802467353842
BILBAO - Erandiogoikoa - UPV/EHU,4020.9118143717446,5843.60444030469,21.168229861598174
BILBAO - GALDAKAO (Autopista),3089.8673502604165,4503.711016844662,87705957031257.27
BILBAO - GALDAKAO - LARRABETZU,3641.3955078125,4455.65268683348,9.770608236222607
BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),6434.9306640625,8415.06135601486,9.205012506290274
BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,619.8408203125,866.4571355853768,3.9886068987594308
BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,1490.822998046875,1779.4789221965998,7.924343199176626
BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,7243.441731770833,9955.792324434047,11.596140485430578
BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,5862.141927083333,8433.15705635765,9.353131102235942
BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,3084.28515625,4636.034342059877,6.644390708543775
BILBAO - Hospital Santa Marina Ospitalea,111.10318152109782,147.9001111592323,11110318152109.783
BILBAO - LAUKIZ - MUNGIA,919.8658040364584,1261.644721069874,14.599273336374669
BILBAO - LEKEITIO (Autopista),3358.9305013020835,4092.34698637819,7.981947922699931
BILBAO - LEMOA - OTXANDIO - UBIDE,2960.5201822916665,3685.1055680801646,10.781043012088737
BILBAO - LEMOA - ZEANURI (Autopista),2263.320556640625,2690.4175828316015,24.13093785069382
BILBAO - MUNGIA (Por autopista/tik),3713.367177327474,6232.647523250219,20.40492458000582
BILBAO - MUNGIA - BAKIO (Por la autopista/tik),7728.607747395833,10105.27308137225,12.97075719245561
BILBAO - MUNGIA - BERMEO (Por la autopista/tik),11852.512044270834,15405.617823689445,13.798671738182925
BILBAO - MUSKIZ,11576.514973958334,18025.98157847833,13.027228190272034
BILBAO - SANTURTZI,9619.596842447916,15394.550943723934,14.72190141144734
BILBAO - SANTURTZI  - PORTUGALETE (Autopista),2302.4927571614585,3436.0223883227823,9.57823663779816
BILBAO - SESTAO - Errepelega/Repelega,2509.81591796875,3864.007530991606,9.839634832065492
BILBAO - Sodupe - ARTZINIEGA,3596.7347005208335,5828.584158305277,11.240087589936117
BILBAO - Sodupe - Arespalditza Respaldiza,745.2189127604166,870.4360185723413,12.577254098348508
BILBAO - Sodupe - GORDEXOLA,1084.498270670573,1241.286066254309,17.068378250844347
BILBAO - UGAO MIRABALLES - OROZKO,3536.3460286458335,4627.57023289185,8.442822582087398
BILBAO - UPV/EHU (Enekuri),1421.4910786946614,1970.6264486474338,5272971598321.613
BILBAO-Aireportua/Aeropuerto,8095.057291666667,11476.389382779647,6.864534769131132
