linea,mae,rmse,mape,aic
ARTEA - ZEBERIO - UGAO MIRABALLES,1134.003331733417,1515.46068360033,52.16250894726161,1131.2263885614632
Andra Mari/Santa Maria Getxo-UPV/EHU (Algorta),1074.5227856859321,1301.2799897032485,13086477306062.89,1306.1313318496368
Andra Mari/Santa Maria Getxo-UPV/EHU (Fadura),1403.5,1641.3885889697174,83.3333333332575,2495.872495132905
Areeta/Las Arenas-LARRABETZU,3101.684928436713,3634.6037967697457,16.584059526463776,1126.9830082743224
Arrazola - DURANGO,1943.107494865373,3780.981324717169,13.180525808854284,771.1279194847677
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,692.7678814789142,823.1711927647996,8.035488423437142,1494.4838763022967
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),4528.190709944417,6689.982076231172,21.309242884390365,1299.7832413216274
BERMEO - BAKIO,4343.82944975963,14370.91639029527,414788138152832.44,901.5030395603261
BERMEO - MUNGIA - DERIO - UPV/EHU,6223.25,7205.941743912912,83.33333333331919,2656.7036195956493
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),3215.0589870865692,5674.467620937721,12.853356519821011,1459.0613369465455
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,8267.740157133252,11602.89849033769,14.786027733261761,1395.879753106619
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,7127.63213999778,10429.482421919514,7.711315528403791,1362.227625698822
BILBAO - BALMASEDA,9113.273904219863,10594.636990029912,10.219300919660656,1133.1110179941427
BILBAO - BARAKALDO,13917.778102712837,14676.528178253677,30.83093494446027,1351.183699216471
BILBAO - BARAKALDO - SANTURTZI,11755.793036397008,24885.39214870928,8.478961180802873,831.2807415388276
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,1213.8712513290156,2229.473084881655,9.048125699916497,1447.8852246617598
BILBAO - DERIO - MUNGIA,186939908074685.16,233786373344990.0,308004774983.80054,1999.4680240332737
BILBAO - DURANGO (Autopista),10379.37550981919,14143.571586214277,24.984557115130833,1043.504448312656
BILBAO - DURANGO - ELORRIO (Autopista),26285.21900722288,49498.943715052126,44.203083488881326,1325.9165089201188
BILBAO - DURANGO - ONDARROA (Autopista),8140.628424998508,15450.625036202962,14.627526406933985,1519.1961413444049
BILBAO - ERMUA - EIBAR (Autopista),10101.661090489251,24277.115299007164,26.873148052528702,1324.7668197888083
BILBAO - ERMUA - ONDARROA (Autopista),6840.669569122747,9607.098543065404,17.41145234251792,1377.8948106410758
BILBAO - ETXEBARRI - BASAURI - San Miguel (Bego̱a),743.0936793340253,863.0436416158847,9.36281675980224,1294.997020216694
BILBAO - Erandiogoikoa - UPV/EHU,4068.643627895086,6522.598459184287,17.830518674618364,1378.3177821967822
