año,codigo_linea,linea,expediciones_anuales,dias_servicio
2024,A3512,BILBAO - LEKEITIO (Autopista),29921,913
2024,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,15106,913
2024,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,48601,908
2024,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,49145,913
2024,A3516,BILBAO - MUNGIA (Autopista),19786,660
2024,A3517,BILBAO - DERIO - MUNGIA,61942,913
2024,A3518,BILBAO -MUNGIA - BAKIO (Autopista),34146,913
2024,A3522,MUNGIA - DERIO - Gurutzeta/Cruces,20547,913
2024,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,14252,913
2024,A3524,BERMEO - BAKIO,6958,497
2024,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,6690,498
2024,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,18170,813
2024,A3527,BILBAO - MUNGIA - BERMEO (Autopista),45844,889
2024,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,6252,498
2024,A3529,MUNGIA - GAMIZ FIKA,6008,751
2024,A3530,MUNGIA - MEÃAKA - ARRIETA,6008,751
2024,A3531,LEIOA - Hospital Urduliz Ospitalea - GATIKA - MUNGIA,24536,913
2024,A3532,GERNIKA LUMO - NABARNIZ,4382,626
2024,A3533,GERNIKA LUMO - MENDATA,3756,626
2024,A3534,GERNIKA LUMO - ERRIGOITI,3756,626
2024,A3535,LEKEITIO - AMOROTO,5008,626
2024,A3536,LEKEITIO - MENDEXA,5302,668
2024,A3537,PLENTZIA - GORLIZ - MUNGIA,23783,913
2024,A3538,LEKEITIO-Barainka,2504,626
2024,A3613,BILBAO - UGAO MIRABALLES - OROZKO,52435,913
2024,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,28904,751
2024,A3631,BILBAO - GALDAKAO - LARRABETZU,78159,913
2024,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),29728,913
2024,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,67439,913
2024,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),50031,751
2024,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,31391,908
2024,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,29850,913
2024,A3913,Arrazola - DURANGO,26462,908
2024,A3915,BILBAO - DURANGO - ONDARROA (Autopista),28133,913
2024,A3916,BILBAO - ERMUA - ONDARROA (Autopista),30421,913
2024,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,32358,913
2024,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,8764,626
2024,A3923,BILBAO - DURANGO - ELORRIO (Autopista),29273,913
2024,A3924,ERMUA - DURANGO - UPV/EHU,6252,498
2024,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,26972,913
2024,A3926,BILBAO - ERMUA - EIBAR (Autopista),29078,913
2024,A3927,BILBAO - LEMOA - ZEANURI (Autopista),17512,584
2024,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,16431,908
2024,A3930,BILBAO - GALDAKAO (Autopista),39837,699
2024,A3931,GARAI - DURANGO,4382,626
2024,A3932,GALDAKAO - Metro Bolueta,96408,913
2024,A3933,BILBAO - DURANGO (Autopista),36916,626
2025,A0651,BILBAO - BALMASEDA,45123,819
2025,A0652,LANESTOSA - BALMASEDA,8948,819
2025,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,7826,559
2025,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,14532,559
2025,A2151,Areeta/Las Arenas - LARRABETZU,23613,819
2025,A2153,BILBAO - Txorierri - LARRABETZU,26343,819
2025,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,37187,819
2025,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),11960,460
2025,A2163,ERANDIO - UPV/EHU,1182,394
2025,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),2364,394
2025,A2166,Uribe Kosta - UPV/EHU,5122,394
2025,A2312,Zabalburu - UPV/EHU  (Juan de Garay),9200,460
2025,A2314,BILBAO - Erandiogoikoa - UPV/EHU,24028,626
2025,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,11290,497
2025,A2316,SESTAO - UPV/EHU,3940,394
2025,A2318,Termibus - UPV/EHU (Autopista),33533,538
2025,A2321,Santutxu - UPV/EHU (Autopista),15056,786
2025,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,24976,819
2025,A2324,BILBAO - UPV/EHU (Enekuri),4728,394
2025,A2326,BARAKALDO - UPV/EHU,10264,470
2025,A2336,MUSKIZ - UPV/EHU,4700,470
2025,A2610,GALDAKAO - UPV/EHU,11128,470
2025,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,3940,394
2025,A3115,BILBAO - SANTURTZI,77838,819
2025,A3122,BILBAO - SESTAO - Errepelega/Repelega,27496,819
2025,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,93519,819
2025,A3135,SESTAO - Cabieces,99029,819
2025,A3136,BILBAO - BARAKALDO - SANTURTZI,66585,819
2025,A3137,BILBAO - BARAKALDO,50886,819
2025,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,47179,819
2025,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),46486,674
2025,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),43118,674
2025,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),26011,819
2025,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,22535,819
2025,A3225,BILBAO - LAUKIZ - MUNGIA,15064,819
2025,A3247,BILBAO - Aireportua/Aeropuerto,106133,819
2025,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),17878,559
2025,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,31725,819
2025,A3323,PORTUGALETE - GALDAMES,13552,819
2025,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,24305,819
2025,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,89868,819
2025,A3333,Gallarta - SANTURTZI,83992,819
2025,A3334,SANTURTZI - BALMASEDA,11984,819
2025,A3335,MUSKIZ - ZIERBENA - SESTAO,30588,819
2025,A3336,BILBAO - MUSKIZ,50623,819
2025,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,45543,819
2025,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,7741,195
2025,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),21426,674
2025,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,10406,819
2025,A3342,BILBAO - Sodupe - ARTZINIEGA,24970,819
2025,A3343,BILBAO - Sodupe - GORDEXOLA,9499,559
2025,A3411,BILBAO - GETXO - Azkorri,53308,819
2025,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),63896,819
2025,A3422,Areeta/Las Arenas - BERANGO,24006,819
2025,A3451,Areeta/Las Arenas  - Armintza,26451,819
2025,A3471,GETXO - Gurutzeta / Cruces (Faduratik / Por Fadura),26152,819
2025,A3472,GETXO - Gurutzeta / Cruces (Areetatik/desde Las Arenas),24516,819
2025,A3499,PLENTZIA - GORLIZ,77934,819
2025,A3512,BILBAO - LEKEITIO (Autopista),26841,819
2025,A3513,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,14027,819
2025,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,43804,815
2025,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,44010,819
2025,A3516,BILBAO - MUNGIA (Autopista),17523,576
2025,A3517,BILBAO - DERIO - MUNGIA,56068,819
2025,A3518,BILBAO -MUNGIA - BAKIO (Autopista),31320,819
2025,A3522,MUNGIA - DERIO - Gurutzeta/Cruces,18406,819
2025,A3523,BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,12788,819
2025,A3524,BERMEO - BAKIO,6006,429
2025,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,6006,442
2025,A3526,MUNGIA - GERNIKA LUMO - IBARRANGELU,17016,736
2025,A3527,BILBAO - MUNGIA - BERMEO (Autopista),41063,795
2025,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,5612,442
2025,A3529,MUNGIA - GAMIZ FIKA,5392,674
2025,A3530,MUNGIA - MEÃAKA - ARRIETA,5392,674
2025,A3531,LEIOA - Hospital Urduliz Ospitalea - GATIKA - MUNGIA,22063,819
2025,A3532,GERNIKA LUMO - EA,7377,657
2025,A3533,MORGA - GERNIKA LUMO - MENDATA,7094,657
2025,A3534,ERRIGOITI - GERNIKA LUMO - EREÃO,6886,657
2025,A3535,LEKEITIO - AMOROTO,4472,559
2025,A3536,LEKEITIO - MENDEXA,4766,601
2025,A3537,PLENTZIA - GORLIZ - MUNGIA,21387,819
2025,A3538,LEKEITIO-Barainka,2236,559
2025,A3613,BILBAO - UGAO MIRABALLES - OROZKO,47047,819
2025,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,25931,674
2025,A3631,BILBAO - GALDAKAO - LARRABETZU,69817,819
2025,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),26667,819
2025,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,60486,819
2025,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),44786,674
2025,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,28163,815
2025,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,26786,819
2025,A3913,Arrazola - DURANGO,23728,815
2025,A3915,BILBAO - DURANGO - ONDARROA (Autopista),25236,819
2025,A3916,BILBAO - ERMUA - ONDARROA (Autopista),27301,819
2025,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,29027,819
2025,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,7826,559
2025,A3923,BILBAO - DURANGO - ELORRIO (Autopista),26264,819
2025,A3924,ERMUA - DURANGO - UPV/EHU,5612,442
2025,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,24204,819
2025,A3926,BILBAO - ERMUA - EIBAR (Autopista),26081,819
2025,A3927,BILBAO - LEMOA - ZEANURI (Autopista),15660,519
2025,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,14747,815
2025,A3930,BILBAO - GALDAKAO (Autopista),35562,624
2025,A3931,GARAI - DURANGO,3913,559
2025,A3932,GALDAKAO - Metro Bolueta,86473,818
2025,A3933,BILBAO - DURANGO (Autopista),33197,570
