año,codigo_linea,linea,expediciones_anuales,dias_servicio
2021,A3532,GERNIKA LUMO - NABARNIZ,3744,624
2021,A3533,GERNIKA LUMO - MENDATA,3744,624
2021,A3534,GERNIKA LUMO - ERRIGOITI,3744,624
2021,A3535,LEKEITIO - AMOROTO,4992,624
2021,A3536,LEKEITIO - MENDEXA,5244,660
2021,A3537,PLENTZIA - GORLIZ - MUNGIA,23570,909
2021,A3538,LEKEITIO-Barainka,2496,624
2021,A3613,BILBAO - UGAO MIRABALLES - OROZKO,52216,909
2021,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,28790,748
2021,A3631,BILBAO - GALDAKAO - LARRABETZU,77691,909
2021,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),29596,909
2021,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,67146,909
2021,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),49824,748
2021,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,31256,904
2021,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,29719,909
2021,A3913,Arrazola - DURANGO,26342,904
2021,A3915,BILBAO - DURANGO - ONDARROA (Autopista),28007,909
2021,A3916,BILBAO - ERMUA - ONDARROA (Autopista),29381,909
2021,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,32794,909
2021,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,8736,624
2021,A3923,BILBAO - DURANGO - ELORRIO (Autopista),29146,909
2021,A3924,ERMUA - DURANGO - UPV/EHU,6396,504
2021,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,26854,909
2021,A3926,BILBAO - ERMUA - EIBAR (Autopista),28948,909
2021,A3927,BILBAO - LEMOA - ZEANURI (Autopista),17392,580
2021,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,16362,904
2021,A3930,BILBAO - GALDAKAO (Autopista),39666,696
2021,A3931,GARAI - DURANGO,4368,624
2021,A3932,GALDAKAO - Metro Bolueta,95871,909
2021,A3933,BILBAO - DURANGO (Autopista),36734,624
2022,A0651,BILBAO - BALMASEDA,46149,909
2022,A0652,LANESTOSA - BALMASEDA,9948,909
2022,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,8722,623
2022,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,16198,623
2022,A2151,Areeta/Las Arenas - LARRABETZU,26259,909
2022,A2153,BILBAO - Txorierri - LARRABETZU,29248,909
2022,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,43427,909
2022,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),13364,514
2022,A2163,ERANDIO - UPV/EHU,1788,447
2022,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),3129,447
2022,A2166,Uribe Kosta - UPV/EHU,5811,447
2022,A2312,Zabalburu - UPV/EHU  (Juan de Garay),9766,514
2022,A2314,BILBAO - Erandiogoikoa - UPV/EHU,27159,708
