linea,fecha,año,mes,viajeros_pred_xgb
Astrabudua-erandiogoikoa-SONDIKA,2026-04-01,2026,4,2480.5234375
Astrabudua-erandiogoikoa-SONDIKA,2026-05-01,2026,5,1073.585693359375
Astrabudua-erandiogoikoa-SONDIKA,2026-06-01,2026,6,1266.8775634765625
Astrabudua-erandiogoikoa-SONDIKA,2026-07-01,2026,7,727.5245971679688
Astrabudua-erandiogoikoa-SONDIKA,2026-08-01,2026,8,780.2262573242188
Astrabudua-erandiogoikoa-SONDIKA,2026-09-01,2026,9,1263.12890625
Astrabudua-erandiogoikoa-SONDIKA,2026-10-01,2026,10,1141.095947265625
Astrabudua-erandiogoikoa-SONDIKA,2026-11-01,2026,11,1207.9608154296875
Astrabudua-erandiogoikoa-SONDIKA,2026-12-01,2026,12,752.6970825195312
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-01-01,2026,1,5978.34765625
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-02-01,2026,2,9899.1357421875
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-03-01,2026,3,9585.787109375
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-04-01,2026,4,9972.533203125
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-05-01,2026,5,10647.2255859375
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-06-01,2026,6,9548.154296875
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-07-01,2026,7,8282.3017578125
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-08-01,2026,8,6122.63427734375
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-09-01,2026,9,11223.4189453125
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-10-01,2026,10,12614.6806640625
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-11-01,2026,11,11892.2109375
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-12-01,2026,12,10121.46875
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-01-01,2026,1,14788.5322265625
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-02-01,2026,2,24779.673828125
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-03-01,2026,3,27876.67578125
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-04-01,2026,4,26802.8046875
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-05-01,2026,5,28856.015625
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-06-01,2026,6,26304.984375
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-07-01,2026,7,23071.244140625
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-08-01,2026,8,9115.2080078125
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-09-01,2026,9,27150.1328125
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-10-01,2026,10,29153.919921875
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-11-01,2026,11,28051.19140625
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-12-01,2026,12,29599.8515625
BERMEO - BAKIO,2026-01-01,2026,1,39.432098388671875
BERMEO - BAKIO,2026-02-01,2026,2,2345.1298828125
BERMEO - BAKIO,2026-03-01,2026,3,1093.659423828125
BERMEO - BAKIO,2026-04-01,2026,4,3625.82080078125
BERMEO - BAKIO,2026-05-01,2026,5,2170.969482421875
BERMEO - BAKIO,2026-06-01,2026,6,746.4248046875
BERMEO - BAKIO,2026-07-01,2026,7,1289.43017578125
BERMEO - BAKIO,2026-08-01,2026,8,1490.846435546875
BERMEO - BAKIO,2026-09-01,2026,9,1673.4296875
BERMEO - BAKIO,2026-10-01,2026,10,1344.39111328125
BERMEO - BAKIO,2026-11-01,2026,11,986.3619995117188
BERMEO - BAKIO,2026-12-01,2026,12,704.7239990234375
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-01-01,2026,1,5368.3076171875
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-02-01,2026,2,9154.986328125
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-03-01,2026,3,8320.935546875
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-04-01,2026,4,8477.875
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-05-01,2026,5,8385.6572265625
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-06-01,2026,6,2952.15771484375
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-07-01,2026,7,914.884521484375
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-08-01,2026,8,190.89308166503906
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-09-01,2026,9,8187.46630859375
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-10-01,2026,10,11566.927734375
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-11-01,2026,11,11979.865234375
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-12-01,2026,12,7553.646484375
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-01-01,2026,1,14944.7421875
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-02-01,2026,2,25578.88671875
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-03-01,2026,3,26634.810546875
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-04-01,2026,4,26478.75
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-05-01,2026,5,27299.07421875
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-06-01,2026,6,25663.30859375
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-07-01,2026,7,23600.6015625
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-08-01,2026,8,21947.009765625
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-09-01,2026,9,29690.931640625
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-10-01,2026,10,32265.87890625
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-11-01,2026,11,31672.302734375
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-12-01,2026,12,29246.6328125
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-01-01,2026,1,17300.064453125
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-02-01,2026,2,58286.8359375
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-03-01,2026,3,58118.98046875
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-04-01,2026,4,60878.48046875
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-05-01,2026,5,62632.3828125
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-06-01,2026,6,60194.625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-07-01,2026,7,52621.1640625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-08-01,2026,8,44621.34375
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-09-01,2026,9,60715.265625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-10-01,2026,10,70814.4375
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-11-01,2026,11,64297.9765625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-12-01,2026,12,63761.0078125
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-01-01,2026,1,68430.9453125
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-02-01,2026,2,82639.359375
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-03-01,2026,3,95048.4296875
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-04-01,2026,4,101304.6015625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-05-01,2026,5,112620.1640625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-06-01,2026,6,112284.765625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-07-01,2026,7,113753.3671875
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-08-01,2026,8,121391.15625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-09-01,2026,9,124783.546875
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-10-01,2026,10,123570.0625
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-11-01,2026,11,116152.5859375
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-12-01,2026,12,120080.5
BILBAO - BALMASEDA,2026-01-01,2026,1,81836.5390625
BILBAO - BALMASEDA,2026-02-01,2026,2,87739.5546875
BILBAO - BALMASEDA,2026-03-01,2026,3,96044.5546875
BILBAO - BALMASEDA,2026-04-01,2026,4,97752.234375
BILBAO - BALMASEDA,2026-05-01,2026,5,103066.328125
BILBAO - BALMASEDA,2026-06-01,2026,6,105955.390625
BILBAO - BALMASEDA,2026-07-01,2026,7,102495.625
BILBAO - BALMASEDA,2026-08-01,2026,8,88595.2890625
BILBAO - BALMASEDA,2026-09-01,2026,9,107449.734375
BILBAO - BALMASEDA,2026-10-01,2026,10,125704.2578125
BILBAO - BALMASEDA,2026-11-01,2026,11,122078.1953125
BILBAO - BALMASEDA,2026-12-01,2026,12,118458.296875
BILBAO - BARAKALDO,2026-01-01,2026,1,14937.73828125
BILBAO - BARAKALDO,2026-02-01,2026,2,43619.51171875
BILBAO - BARAKALDO,2026-03-01,2026,3,47934.8046875
BILBAO - BARAKALDO,2026-04-01,2026,4,51962.05078125
BILBAO - BARAKALDO,2026-05-01,2026,5,51601.09765625
BILBAO - BARAKALDO,2026-06-01,2026,6,49623.67578125
BILBAO - BARAKALDO,2026-07-01,2026,7,47233.078125
BILBAO - BARAKALDO,2026-08-01,2026,8,43079.94140625
BILBAO - BARAKALDO,2026-09-01,2026,9,52748.875
BILBAO - BARAKALDO,2026-10-01,2026,10,60825.234375
BILBAO - BARAKALDO,2026-11-01,2026,11,57820.1640625
BILBAO - BARAKALDO,2026-12-01,2026,12,57320.984375
BILBAO - BARAKALDO - SANTURTZI,2026-01-01,2026,1,131516.0625
BILBAO - BARAKALDO - SANTURTZI,2026-02-01,2026,2,143252.703125
BILBAO - BARAKALDO - SANTURTZI,2026-03-01,2026,3,139902.5625
BILBAO - BARAKALDO - SANTURTZI,2026-04-01,2026,4,143024.421875
BILBAO - BARAKALDO - SANTURTZI,2026-05-01,2026,5,143138.546875
BILBAO - BARAKALDO - SANTURTZI,2026-06-01,2026,6,137690.71875
BILBAO - BARAKALDO - SANTURTZI,2026-07-01,2026,7,137782.390625
BILBAO - BARAKALDO - SANTURTZI,2026-08-01,2026,8,136557.78125
