linea,fecha,año,mes,viajeros_pred
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-03-01,2026,3,11592.436225282723
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-04-01,2026,4,8724.525210907392
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-05-01,2026,5,11348.137031339988
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-06-01,2026,6,9643.696117097
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-07-01,2026,7,7365.786403077293
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-08-01,2026,8,6184.960831075862
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-09-01,2026,9,11659.02020278405
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-10-01,2026,10,12860.711401976212
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-11-01,2026,11,12814.75511426146
BALMASEDA - Gurutzeta/Cruces - UPV/EHU,2026-12-01,2026,12,9546.821434624146
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-01-01,2026,1,23251.38651911365
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-02-01,2026,2,25684.52019747351
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-03-01,2026,3,27941.00861524979
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-04-01,2026,4,21099.13823045679
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-05-01,2026,5,27455.18798342009
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-06-01,2026,6,28575.184802327185
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-07-01,2026,7,21154.964689009677
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-08-01,2026,8,8935.79532368913
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-09-01,2026,9,27605.73000753474
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-10-01,2026,10,29804.37348685242
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-11-01,2026,11,30488.034559759613
BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),2026-12-01,2026,12,25414.651412646148
BERMEO - BAKIO,2026-01-01,2026,1,0.0
BERMEO - BAKIO,2026-02-01,2026,2,0.0
BERMEO - BAKIO,2026-03-01,2026,3,0.0
BERMEO - BAKIO,2026-04-01,2026,4,0.0
BERMEO - BAKIO,2026-05-01,2026,5,0.0
BERMEO - BAKIO,2026-06-01,2026,6,0.0
BERMEO - BAKIO,2026-07-01,2026,7,35.7043924056774
BERMEO - BAKIO,2026-08-01,2026,8,0.0
BERMEO - BAKIO,2026-09-01,2026,9,0.0
BERMEO - BAKIO,2026-10-01,2026,10,0.0
BERMEO - BAKIO,2026-11-01,2026,11,0.0
BERMEO - BAKIO,2026-12-01,2026,12,0.0
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-01-01,2026,1,5898.402288799862
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-02-01,2026,2,9105.55533004706
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-03-01,2026,3,7830.107263154194
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-04-01,2026,4,4605.006370195787
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-05-01,2026,5,6507.073605990433
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-06-01,2026,6,1726.462573058202
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-07-01,2026,7,692.1180563841995
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-08-01,2026,8,1289.5031188757328
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-09-01,2026,9,8522.996975089594
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-10-01,2026,10,10382.30728331986
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-11-01,2026,11,11079.828760068796
BERMEO - MUNGIA - DERIO - UPV/EHU,2026-12-01,2026,12,6074.50946749436
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-01-01,2026,1,19574.798112128377
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-02-01,2026,2,26151.059779398325
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-03-01,2026,3,25183.502293448517
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-04-01,2026,4,20440.69410866634
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-05-01,2026,5,26437.592512000738
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-06-01,2026,6,25447.297933532645
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-07-01,2026,7,20568.172438609385
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-08-01,2026,8,18763.173182966544
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-09-01,2026,9,29210.286610210653
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-10-01,2026,10,31022.10508363397
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-11-01,2026,11,29736.665971188675
BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),2026-12-01,2026,12,27657.4445117219
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-01-01,2026,1,47953.15753692367
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-02-01,2026,2,53324.8255479203
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-03-01,2026,3,60146.45061532871
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-04-01,2026,4,54114.337553580845
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-05-01,2026,5,65339.14042570149
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-06-01,2026,6,62761.88544769731
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-07-01,2026,7,54593.16629277957
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-08-01,2026,8,47512.94783048693
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-09-01,2026,9,70351.79364763036
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-10-01,2026,10,78670.21848836185
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-11-01,2026,11,73991.30537343456
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,2026-12-01,2026,12,69250.4196696585
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-01-01,2026,1,78308.37426709192
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-02-01,2026,2,85729.05546673395
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-03-01,2026,3,100752.06777669524
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-04-01,2026,4,94886.20602874446
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-05-01,2026,5,109753.02481359131
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-06-01,2026,6,113415.43090770372
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-07-01,2026,7,117090.69879955836
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-08-01,2026,8,120667.58860474807
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-09-01,2026,9,126035.39267093208
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-10-01,2026,10,126970.74957139036
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-11-01,2026,11,117385.61564694272
BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,2026-12-01,2026,12,112287.75279404774
BILBAO - BALMASEDA,2026-01-01,2026,1,85485.46815770255
BILBAO - BALMASEDA,2026-02-01,2026,2,89748.45389838042
BILBAO - BALMASEDA,2026-03-01,2026,3,89560.76197133548
BILBAO - BALMASEDA,2026-04-01,2026,4,74292.56999146623
BILBAO - BALMASEDA,2026-05-01,2026,5,92580.04682568571
BILBAO - BALMASEDA,2026-06-01,2026,6,86251.55081179879
BILBAO - BALMASEDA,2026-07-01,2026,7,74039.43635065737
BILBAO - BALMASEDA,2026-08-01,2026,8,63901.13622152327
BILBAO - BALMASEDA,2026-09-01,2026,9,97028.81155003114
BILBAO - BALMASEDA,2026-10-01,2026,10,104867.02039014112
BILBAO - BALMASEDA,2026-11-01,2026,11,99623.0707004854
BILBAO - BALMASEDA,2026-12-01,2026,12,90385.37764071456
BILBAO - BARAKALDO,2026-01-01,2026,1,36324.5881667933
BILBAO - BARAKALDO,2026-02-01,2026,2,45467.8987115084
BILBAO - BARAKALDO,2026-03-01,2026,3,47453.34231951303
BILBAO - BARAKALDO,2026-04-01,2026,4,46691.20213803871
BILBAO - BARAKALDO,2026-05-01,2026,5,55772.38704898015
BILBAO - BARAKALDO,2026-06-01,2026,6,53767.67765621741
BILBAO - BARAKALDO,2026-07-01,2026,7,47789.08051740251
BILBAO - BARAKALDO,2026-08-01,2026,8,41286.76150971776
BILBAO - BARAKALDO,2026-09-01,2026,9,52292.17979521696
BILBAO - BARAKALDO,2026-10-01,2026,10,54499.92698791513
BILBAO - BARAKALDO,2026-11-01,2026,11,53362.72852785656
BILBAO - BARAKALDO,2026-12-01,2026,12,50747.15464464312
BILBAO - BARAKALDO - SANTURTZI,2026-01-01,2026,1,127639.26875718664
BILBAO - BARAKALDO - SANTURTZI,2026-02-01,2026,2,164876.61300921012
BILBAO - BARAKALDO - SANTURTZI,2026-03-01,2026,3,168743.14767957656
BILBAO - BARAKALDO - SANTURTZI,2026-04-01,2026,4,163592.17460258666
BILBAO - BARAKALDO - SANTURTZI,2026-05-01,2026,5,188260.78627222567
BILBAO - BARAKALDO - SANTURTZI,2026-06-01,2026,6,183065.6850830793
BILBAO - BARAKALDO - SANTURTZI,2026-07-01,2026,7,176536.44843043876
BILBAO - BARAKALDO - SANTURTZI,2026-08-01,2026,8,158903.3994784616
BILBAO - BARAKALDO - SANTURTZI,2026-09-01,2026,9,183676.69410618735
BILBAO - BARAKALDO - SANTURTZI,2026-10-01,2026,10,196574.85787841555
BILBAO - BARAKALDO - SANTURTZI,2026-11-01,2026,11,188809.02231378292
BILBAO - BARAKALDO - SANTURTZI,2026-12-01,2026,12,185711.07819160176
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-01-01,2026,1,12331.243884465628
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-02-01,2026,2,13066.235668737036
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-03-01,2026,3,14694.234262456035
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-04-01,2026,4,11465.954693647316
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-05-01,2026,5,13586.084515052113
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-06-01,2026,6,15335.123272439889
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-07-01,2026,7,14321.593985616322
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-08-01,2026,8,12727.375079458645
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-09-01,2026,9,15300.08780704304
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-10-01,2026,10,14780.610243641704
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-11-01,2026,11,15704.335274344265
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-12-01,2026,12,15382.089902136318
BILBAO - DERIO - MUNGIA,2026-01-01,2026,1,53264.41304369368
BILBAO - DERIO - MUNGIA,2026-02-01,2026,2,55875.24910462945
BILBAO - DERIO - MUNGIA,2026-03-01,2026,3,54550.95245516946
BILBAO - DERIO - MUNGIA,2026-04-01,2026,4,46236.02749153855
BILBAO - DERIO - MUNGIA,2026-05-01,2026,5,57305.31457999234
BILBAO - DERIO - MUNGIA,2026-06-01,2026,6,75011.21972436106
BILBAO - DERIO - MUNGIA,2026-07-01,2026,7,83657.22948935829
BILBAO - DERIO - MUNGIA,2026-08-01,2026,8,84693.87255736982
BILBAO - DERIO - MUNGIA,2026-09-01,2026,9,68214.05172980488
BILBAO - DERIO - MUNGIA,2026-10-01,2026,10,64213.960724356046
BILBAO - DERIO - MUNGIA,2026-11-01,2026,11,61361.16643470773
BILBAO - DERIO - MUNGIA,2026-12-01,2026,12,56230.25868729101
BILBAO - DURANGO (Autopista),2026-01-01,2026,1,42098.342439083775
BILBAO - DURANGO (Autopista),2026-02-01,2026,2,49560.64678242221
BILBAO - DURANGO (Autopista),2026-03-01,2026,3,56067.6538754528
BILBAO - DURANGO (Autopista),2026-04-01,2026,4,38487.28590452679
BILBAO - DURANGO (Autopista),2026-05-01,2026,5,50151.23533206704
BILBAO - DURANGO (Autopista),2026-06-01,2026,6,49322.08035530696
BILBAO - DURANGO (Autopista),2026-07-01,2026,7,38253.4057228737
BILBAO - DURANGO (Autopista),2026-08-01,2026,8,23388.18196415053
BILBAO - DURANGO (Autopista),2026-09-01,2026,9,51841.13012856081
BILBAO - DURANGO (Autopista),2026-10-01,2026,10,57638.92373389998
BILBAO - DURANGO (Autopista),2026-11-01,2026,11,59061.77564499718
BILBAO - DURANGO (Autopista),2026-12-01,2026,12,49240.16730585211
BILBAO - DURANGO - ELORRIO (Autopista),2026-01-01,2026,1,61177.76796706876
BILBAO - DURANGO - ELORRIO (Autopista),2026-02-01,2026,2,66086.27584157453
BILBAO - DURANGO - ELORRIO (Autopista),2026-03-01,2026,3,73535.45263811483
BILBAO - DURANGO - ELORRIO (Autopista),2026-04-01,2026,4,61460.198694715866
BILBAO - DURANGO - ELORRIO (Autopista),2026-05-01,2026,5,70254.2515815367
BILBAO - DURANGO - ELORRIO (Autopista),2026-06-01,2026,6,69639.08244369147
BILBAO - DURANGO - ELORRIO (Autopista),2026-07-01,2026,7,61850.05033190519
BILBAO - DURANGO - ELORRIO (Autopista),2026-08-01,2026,8,59103.1330821063
BILBAO - DURANGO - ELORRIO (Autopista),2026-09-01,2026,9,78689.48044024117
BILBAO - DURANGO - ELORRIO (Autopista),2026-10-01,2026,10,85739.67502808942
